Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-06-18,30.0,31.5,28.5,31.5,7006229,0,0
2018-06-19,32.7,33.05,31.0,32.6,2895692,0,0
2018-06-20,31.5,32.2,31.0,31.0,1115553,0,0
2018-06-21,29.45,30.0,29.45,29.65,2854524,0,0
2018-06-22,28.2,29.8,28.2,29.45,1612972,0,0
2018-06-25,30.0,30.0,28.5,28.95,365859,0,0
2018-06-26,28.8,29.4,27.55,28.8,493868,0,0
2018-06-27,28.3,28.3,27.4,27.4,133412,0,0
2018-06-28,26.05,26.05,26.05,26.05,61587,0,0
2018-06-29,24.75,27.35,24.75,26.8,1158865,0,0
2018-07-02,27.2,27.25,22.8,25.2,1369795,0,0
2018-07-03,26.95,26.95,24.5,26.35,519628,0,0
2018-07-04,26.0,29.95,25.8,29.6,1033451,0,0
2018-07-05,29.8,31.95,28.6,29.8,1546192,0,0
2018-07-06,29.0,30.9,28.85,30.35,523472,0,0
2018-07-09,30.45,31.4,29.55,30.95,616718,0,0
2018-07-10,30.55,31.85,30.25,31.1,492511,0,0
2018-07-11,31.05,33.4,30.6,31.95,1610144,0,0
2018-07-12,31.8,32.9,30.95,31.1,524503,0,0
2018-07-13,32.5,32.7,31.2,31.45,770830,0,0
2018-07-16,32.4,32.4,30.85,31.1,696778,0,0
2018-07-17,31.65,31.85,30.95,31.45,557931,0,0
2018-07-18,31.5,31.75,29.55,29.75,497514,0,0
2018-07-19,29.8,30.4,28.1,29.7,469529,0,0
2018-07-20,29.95,35.6,29.5,35.4,5891772,0,0
2018-07-23,37.9,42.45,37.1,42.45,2766587,0,0
2018-07-24,45.85,46.65,45.0,46.65,1510186,0,0
2018-07-25,50.7,51.3,47.1,51.3,868232,0,0
2018-07-26,55.8,56.4,48.0,52.9,6847468,0,0
2018-07-27,54.5,54.8,51.15,52.35,1425686,0,0
2018-07-30,52.8,57.55,52.8,57.55,2011508,0,0
2018-07-31,60.4,60.4,58.6,60.4,3461295,0,0
2018-08-01,62.7,63.4,62.3,63.4,1023345,0,0
2018-08-02,66.55,66.55,66.55,66.55,162902,0,0
2018-08-03,69.85,69.85,69.85,69.85,116347,0,0
2018-08-06,73.3,73.3,73.3,73.3,66210,0,0
2018-08-07,71.3,73.0,69.65,69.65,1031350,0,0
2018-08-08,66.2,66.2,66.2,66.2,71603,0,0
2018-08-09,62.9,62.9,62.9,62.9,130477,0,0
2018-08-10,61.55,66.0,60.1,66.0,3789655,0,0
2018-08-13,62.7,62.7,62.7,62.7,262033,0,0
2018-08-14,59.6,59.6,59.6,59.6,117253,0,0
2018-08-16,56.65,56.65,56.65,56.65,82087,0,0
