Date,Open,High,Low,Close,Adj Close,Volume
01/01/96,0.79492,0.79668,0.79102,0.79668,-0.000441,204800
02/01/96,0.79492,0.79883,0.79346,0.79346,-0.000439,204800
03/01/96,0.79883,0.79883,0.79883,0.79883,-0.000442,102400
04/01/96,0.79102,0.79492,0.79102,0.79355,-0.000439,307200
05/01/96,0.78418,0.78418,0.78418,0.78418,-0.000434,51200
08/01/96,0.78418,0.79102,0.78516,0.78906,-0.000437,358400
09/01/96,0.78906,0.78125,0.77148,0.78027,-0.000432,870400
10/01/96,0.78027,0.77539,0.77148,0.77344,-0.000428,358400
11/01/96,0.7793,0.79102,0.77344,0.79102,-0.000438,819200
12/01/96,0.78711,0.78711,0.78125,0.78662,-0.000435,358400
15/01/96,0.77637,0.78516,0.77637,0.77783,-0.000431,307200
16/01/96,0.77783,0.78125,0.71289,0.78125,-0.000432,358400
17/01/96,0.78125,0.7832,0.77148,0.77383,-0.000428,768000
18/01/96,0.77383,0.77637,0.76953,0.77637,-0.00043,204800
19/01/96,0.77148,0.77148,0.76807,0.76855,-0.000425,512000
22/01/96,0.77148,0.77637,0.77148,0.77637,-0.00043,204800
23/01/96,0.76758,0.78125,0.76758,0.77393,-0.000428,665600
24/01/96,0.77393,0.77051,0.75293,0.77051,-0.000427,409600
25/01/96,0.771,0.771,0.76758,0.76758,-0.000425,102400
29/01/96,0.76563,0.76563,0.76318,0.76318,-0.000422,102400
30/01/96,0.76318,0.77539,0.77148,0.77246,-0.000428,1433600
31/01/96,0.77246,0.78125,0.76758,0.78125,-0.000432,460800
01/02/96,0.78125,0.81055,0.78125,0.81055,-0.000449,819200
02/02/96,0.81055,0.83984,0.81055,0.83975,-0.000465,2355200
05/02/96,0.83975,0.8418,0.82041,0.83984,-0.000465,819200
06/02/96,0.83984,0.88379,0.83984,0.85938,-0.000476,1382400
07/02/96,0.85938,0.84375,0.83398,0.83652,-0.000463,972800
08/02/96,0.84961,0.88867,0.84961,0.88867,-0.000492,768000
09/02/96,0.88867,0.92773,0.83008,0.92256,-0.000511,1382400
12/02/96,0.92256,0.93555,0.9082,0.91211,-0.000505,819200
13/02/96,0.9375,0.95703,0.9375,0.95703,-0.00053,2048000
14/02/96,0.95703,1.00098,0.95117,0.99316,-0.00055,972800
15/02/96,0.99316,1.00586,0.95703,1.00254,-0.000555,2201600
16/02/96,1.00254,1.01563,0.96533,1.00537,-0.000557,2764800
19/02/96,1.00537,0.98633,0.98242,0.98457,-0.000545,1024000
20/02/96,0.98457,0.98145,0.96875,0.96895,-0.000536,614400
22/02/96,0.96895,0.97266,0.96123,0.96143,-0.000532,307200
23/02/96,0.96143,0.9707,0.96094,0.9707,-0.000537,153600
26/02/96,0.9707,0.97656,0.96631,0.97656,-0.000541,204800
27/02/96,0.97656,0.95215,0.92773,0.92773,-0.000514,153600
28/02/96,0.92773,0.92969,0.92969,0.92969,-0.000515,51200
29/02/96,0.92969,0.91797,0.91406,0.91602,-0.000507,460800
01/03/96,0.91602,0.92773,0.89844,0.92285,-0.000511,512000
04/03/96,0.92773,0.9375,0.92773,0.9375,-0.000519,153600
06/03/96,0.95293,0.95293,0.91113,0.91113,-0.000504,204800
07/03/96,0.91113,0.9375,0.91787,0.9375,-0.000519,307200
08/03/96,0.9375,0.94521,0.92969,0.94521,-0.000523,256000
11/03/96,0.94521,0.9375,0.93174,0.93555,-0.000518,153600
12/03/96,0.93555,0.9375,0.91797,0.9375,-0.000519,409600
13/03/96,0.9375,0.92813,0.91504,0.91504,-0.000507,870400
14/03/96,0.91504,0.9375,0.93701,0.9375,-0.000519,307200
15/03/96,0.9375,0.93369,0.93359,0.93359,-0.000517,153600
18/03/96,0.93359,0.9375,0.93359,0.93496,-0.000518,1228800
19/03/96,0.93496,0.9375,0.92773,0.9375,-0.000519,256000
21/03/96,0.9375,0.94473,0.93457,0.93457,-0.000517,256000
22/03/96,0.93457,0.95117,0.9415,0.94668,-0.000524,768000
25/03/96,0.94668,0.9373,0.9209,0.93555,-0.000518,409600
26/03/96,0.93555,0.93359,0.92305,0.92305,-0.000511,204800
27/03/96,0.92305,0.9375,0.92969,0.92969,-0.000515,716800
28/03/96,0.92969,0.94932,0.94727,0.94932,-0.000525,307200
29/03/96,0.94932,0.98428,0.95703,0.98232,-0.000544,716800
02/04/96,0.98232,0.98633,0.97461,0.98633,-0.000546,614400
03/04/96,0.98633,0.99023,0.97852,0.97852,-0.000542,512000
04/04/96,0.97852,0.97656,0.97656,0.97656,-0.000541,51200
08/04/96,0.97656,0.98223,0.97656,0.98223,-0.000544,256000
09/04/96,0.98223,1.03516,0.98828,1.03223,-0.000571,2099200
10/04/96,1.03223,1.13672,1.08408,1.08887,-0.000603,4505600
11/04/96,1.08887,1.08594,1.06445,1.07617,-0.000596,1536000
12/04/96,1.07617,1.09375,1.07041,1.09258,-0.000605,1587200
15/04/96,1.09258,1.17188,1.09375,1.16016,-0.000642,3174400
16/04/96,1.16016,1.2207,1.15234,1.20664,-0.000668,2918400
17/04/96,1.20664,1.2793,1.21094,1.26582,-0.000701,4249600
18/04/96,1.26582,1.31816,1.23145,1.25176,-0.000693,3532800
19/04/96,1.25176,1.27148,1.23535,1.24219,-0.000688,1587200
22/04/96,1.24219,1.24023,1.21094,1.21289,-0.000671,1689600
23/04/96,1.21289,1.2207,1.20117,1.21797,-0.000674,3276800
24/04/96,1.21797,1.26953,1.23242,1.24229,-0.000688,1280000
25/04/96,1.24229,1.25684,1.24033,1.24043,-0.000687,1484800
26/04/96,1.24043,1.25781,1.22324,1.2374,-0.000685,1382400
29/04/96,1.2374,1.23438,1.22441,1.22852,-0.00068,460800
30/04/96,1.22852,1.23975,1.22363,1.23145,0.000369,1075200
01/05/96,1.23145,1.23633,1.22852,1.23145,0.000369,358400
02/05/96,1.23145,1.28906,1.23828,1.25391,0.000375,1280000
03/05/96,1.25391,1.26563,1.24023,1.25439,0.000376,1638400
06/05/96,1.25439,1.26709,1.24512,1.2625,0.000378,2150400
07/05/96,1.2625,1.26953,1.25049,1.26953,0.00038,1536000
08/05/96,1.26953,1.29688,1.25977,1.28652,0.000385,1638400
09/05/96,1.28652,1.37598,1.26377,1.321,0.000395,4864000
10/05/96,1.321,1.35449,1.2793,1.34326,0.000402,3328000
13/05/96,1.34326,1.36455,1.33027,1.34248,0.000402,1587200
14/05/96,1.34248,1.34746,1.31641,1.33584,0.0004,1536000
15/05/96,1.33584,1.34512,1.30469,1.31816,0.000395,1894400
16/05/96,1.31816,1.35352,1.33008,1.33164,0.000399,972800
17/05/96,1.33164,1.34844,1.29492,1.31123,0.000393,1177600
20/05/96,1.31123,1.30859,1.29199,1.29326,0.000387,870400
21/05/96,1.29326,1.3125,1.28613,1.30127,0.00039,2355200
22/05/96,1.30127,1.30859,1.29785,1.29785,0.000389,1024000
23/05/96,1.29785,1.29346,1.28037,1.28877,0.000386,460800
24/05/96,1.28877,1.29297,1.27148,1.29102,0.000386,819200
27/05/96,1.29102,1.2793,1.26611,1.26611,0.000379,614400
28/05/96,1.26611,1.2793,1.25,1.27734,0.000382,921600
29/05/96,1.27734,1.29443,1.28174,1.29443,0.000388,512000
30/05/96,1.29443,1.2793,1.26025,1.26992,0.00038,563200
31/05/96,1.26992,1.26953,1.26172,1.26367,0.000378,409600
03/06/96,1.26367,1.30273,1.28613,1.30166,0.00039,819200
04/06/96,1.30166,1.30996,1.29883,1.30996,0.000392,460800
05/06/96,1.31152,1.31641,1.30469,1.30566,0.000391,460800
06/06/96,1.31836,1.33203,1.31836,1.33203,0.000399,512000
07/06/96,1.33154,1.35156,1.32832,1.35117,0.000405,1331200
10/06/96,1.39248,1.39248,1.37109,1.3751,0.000412,819200
11/06/96,1.36719,1.38086,1.35957,1.37852,0.000413,1382400
12/06/96,1.38672,1.4043,1.38281,1.38691,0.000415,1638400
13/06/96,1.37695,1.38652,1.36719,1.38076,0.000413,460800
14/06/96,1.38467,1.38867,1.37891,1.38672,0.000415,819200
17/06/96,1.40625,1.4082,1.38672,1.38672,0.000415,1126400
18/06/96,1.37207,1.40625,1.36719,1.38174,0.000414,1331200
19/06/96,1.38672,1.38672,1.38672,1.38672,0.000415,102400
20/06/96,1.36719,1.38672,1.36719,1.37695,0.000412,307200
21/06/96,1.37891,1.38672,1.37695,1.37695,0.000412,1177600
24/06/96,1.36719,1.36719,1.35742,1.36211,0.000408,768000
25/06/96,1.35566,1.36133,1.35371,1.36035,0.000407,716800
26/06/96,1.36709,1.38867,1.35742,1.38574,0.000415,14745600
27/06/96,1.36523,1.38672,1.36426,1.38516,0.000415,819200
28/06/96,1.38477,1.38477,1.37412,1.38086,0.000413,460800
01/07/96,1.38672,1.39063,1.37842,1.38281,0.000414,563200
02/07/96,1.37695,1.38672,1.37695,1.38027,0.000413,972800
03/07/96,1.36914,1.38652,1.3623,1.37266,0.000411,1689600
04/07/96,1.36523,1.37695,1.34912,1.36719,0.000409,768000
05/07/96,1.36719,1.36719,1.36328,1.36328,0.000408,256000
08/07/96,1.36328,1.36719,1.35498,1.35498,0.000406,307200
09/07/96,1.36523,1.36523,1.34766,1.35742,0.000406,512000
10/07/96,1.36328,1.38672,1.36328,1.38672,0.000415,409600
11/07/96,1.38672,1.39697,1.37891,1.3793,0.000413,614400
12/07/96,1.38652,1.39258,1.3792,1.38457,0.000415,614400
15/07/96,1.38184,1.38184,1.37305,1.37305,0.000411,307200
16/07/96,1.35957,1.35957,1.33789,1.35098,0.000404,614400
18/07/96,1.35742,1.35791,1.34766,1.35791,0.000407,563200
19/07/96,1.36719,1.36719,1.35059,1.36377,0.000408,665600
22/07/96,1.37695,1.37695,1.36719,1.36719,0.000409,256000
23/07/96,1.36719,1.36719,1.34961,1.35537,0.000406,716800
24/07/96,1.33789,1.33789,1.28516,1.33789,0.000401,1177600
25/07/96,1.33594,1.36719,1.33203,1.35762,0.000406,1331200
26/07/96,1.36309,1.36328,1.33203,1.33984,0.000401,921600
29/07/96,1.3457,1.34766,1.33105,1.33105,0.000398,358400
30/07/96,1.32813,1.32813,1.24219,1.24902,0.000374,1126400
31/07/96,1.254,1.28906,1.254,1.28906,0.000386,870400
01/08/96,1.30859,1.36719,1.30859,1.36709,0.000409,1331200
02/08/96,1.375,1.375,1.34766,1.34766,0.000403,256000
05/08/96,1.34766,1.34766,1.33594,1.33779,0.000401,409600
06/08/96,1.32813,1.35547,1.32813,1.34355,0.000402,870400
07/08/96,1.31836,1.32813,1.31836,1.32412,0.000396,204800
08/08/96,1.3377,1.34766,1.33691,1.3457,0.000403,307200
09/08/96,1.33789,1.33789,1.32813,1.33047,0.000398,614400
12/08/96,1.32236,1.32813,1.31055,1.31191,0.000393,614400
13/08/96,1.30273,1.30859,1.30176,1.30176,0.00039,204800
14/08/96,1.30859,1.31055,1.30859,1.31055,0.000392,153600
16/08/96,1.27949,1.27949,1.23438,1.26563,0.000379,512000
19/08/96,1.24414,1.26367,1.24219,1.24316,0.000372,614400
20/08/96,1.24219,1.25,1.24219,1.24219,0.000372,665600
21/08/96,1.24219,1.25977,1.24209,1.25713,0.000376,1280000
22/08/96,1.26758,1.26953,1.25781,1.25781,0.000377,512000
23/08/96,1.27637,1.28496,1.27344,1.28418,0.000384,921600
26/08/96,1.30859,1.30859,1.27539,1.27949,0.000383,563200
27/08/96,1.26172,1.28906,1.26172,1.28398,0.000384,1382400
28/08/96,1.28906,1.30469,1.2793,1.2793,0.000383,819200
29/08/96,1.28906,1.3125,1.28906,1.29707,0.000388,460800
30/08/96,1.31836,1.31836,1.30859,1.30859,0.000392,153600
02/09/96,1.33018,1.33018,1.30762,1.30811,0.000392,716800
03/09/96,1.30469,1.30479,1.29512,1.29512,0.000388,870400
04/09/96,1.30273,1.30928,1.30273,1.30928,0.000392,307200
05/09/96,1.31641,1.31641,1.31055,1.31641,0.000394,358400
06/09/96,1.3125,1.36719,1.30859,1.34766,0.000403,4864000
09/09/96,1.33203,1.33789,1.3125,1.3125,0.000393,3993600
10/09/96,1.30078,1.30859,1.30078,1.30605,0.000391,153600
11/09/96,1.29102,1.30078,1.29102,1.29492,0.000388,153600
12/09/96,1.29648,1.29668,1.29648,1.29668,0.000388,153600
13/09/96,1.28223,1.29492,1.28223,1.28926,0.000386,256000
16/09/96,1.28516,1.28906,1.28516,1.28906,0.000386,256000
17/09/96,1.3084,1.3084,1.2793,1.28877,0.000386,409600
18/09/96,1.29688,1.30859,1.29688,1.29688,0.000388,256000
19/09/96,1.29688,1.30859,1.29688,1.30859,0.000392,256000
20/09/96,1.30859,1.3125,1.30859,1.30908,0.000392,1024000
23/09/96,1.28906,1.32813,1.28906,1.31934,0.000395,3020800
24/09/96,1.29902,1.31045,1.29883,1.30859,0.000392,307200
25/09/96,1.30859,1.31621,1.30859,1.31279,0.000393,307200
26/09/96,1.30469,1.30469,1.29902,1.29902,0.000389,102400
27/09/96,1.2793,1.29688,1.2793,1.29688,0.000388,563200
30/09/96,1.28516,1.29395,1.2793,1.28809,0.000386,2560000
01/10/96,1.2793,1.28125,1.25977,1.25977,0.000377,1075200
03/10/96,1.24023,1.26904,1.2373,1.26904,0.00038,1740800
04/10/96,1.24219,1.25967,1.24121,1.25488,0.000376,2150400
07/10/96,1.24902,1.24902,1.2168,1.22471,0.000367,1382400
08/10/96,1.21289,1.24219,1.20947,1.23438,0.00037,1587200
09/10/96,1.22656,1.26953,1.22656,1.26797,0.00038,1484800
10/10/96,1.33789,1.35547,1.30859,1.32881,0.000398,2611200
11/10/96,1.34766,1.34766,1.32861,1.33604,0.0004,3225600
14/10/96,1.32813,1.32813,1.30859,1.31055,0.000392,460800
15/10/96,1.31387,1.31738,1.2832,1.29268,0.000387,1843200
16/10/96,1.30469,1.30859,1.29883,1.30596,0.000391,716800
17/10/96,1.30859,1.30859,1.29883,1.30459,0.000391,768000
18/10/96,1.30859,1.30859,1.30371,1.30518,0.000391,256000
22/10/96,1.34355,1.35742,1.34277,1.34961,0.000404,1280000
23/10/96,1.37695,1.38672,1.35742,1.36523,0.000409,819200
24/10/96,1.40625,1.40625,1.34795,1.34834,0.000404,409600
25/10/96,1.32813,1.3457,1.32813,1.34561,0.000403,307200
28/10/96,1.34766,1.34766,1.32822,1.34238,-0.003503,665600
29/10/96,1.28184,1.34961,1.28184,1.34502,-0.003509,921600
31/10/96,1.33203,1.33594,1.30078,1.32793,-0.003465,460800
01/11/96,1.32793,1.33789,1.32793,1.33789,-0.003491,409600
04/11/96,1.30879,1.32813,1.30879,1.32813,-0.003465,153600
05/11/96,1.31162,1.33203,1.31162,1.32813,-0.003465,460800
06/11/96,1.31816,1.32813,1.31816,1.32813,-0.003465,409600
07/11/96,1.33789,1.34736,1.33789,1.34736,-0.003516,460800
08/11/96,1.36514,1.36514,1.35557,1.35557,-0.003537,153600
11/11/96,1.34961,1.34961,1.33857,1.33857,-0.003493,358400
13/11/96,1.34385,1.35742,1.34385,1.35742,-0.003542,358400
14/11/96,1.35742,1.37109,1.35742,1.36357,-0.003558,409600
15/11/96,1.36719,1.36719,1.36719,1.36719,-0.003567,102400
18/11/96,1.36523,1.3667,1.35771,1.36104,-0.003551,307200
19/11/96,1.35752,1.37891,1.35752,1.36953,-0.003573,1126400
20/11/96,1.36338,1.37109,1.36338,1.37109,-0.003578,153600
21/11/96,1.36914,1.36914,1.36523,1.36523,-0.003562,153600
22/11/96,1.36523,1.36719,1.36523,1.36621,-0.003565,307200
25/11/96,1.34766,1.35547,1.34766,1.35547,-0.003537,102400
26/11/96,1.35156,1.35547,1.35,1.35,-0.003522,256000
27/11/96,1.34355,1.34961,1.34355,1.34863,-0.003519,460800
28/11/96,1.34766,1.35742,1.34766,1.35498,-0.003535,512000
29/11/96,1.33838,1.35742,1.33838,1.35742,-0.003542,153600
02/12/96,1.34766,1.35742,1.3416,1.35674,-0.00354,921600
03/12/96,1.36719,1.36719,1.33984,1.33984,-0.003496,716800
04/12/96,1.31836,1.32813,1.31836,1.32793,-0.003465,1075200
