Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2018-12-06,392.89,398.67,389.36,394.69,697313,0.0,0
2018-12-07,394.24,397.22,389.26,390.8,643910,0.0,0
2018-12-10,386.27,387.02,381.74,383.58,596400,0.0,0
2018-12-11,378.31,387.22,378.26,383.04,429483,0.0,0
2018-12-12,383.09,394.88,383.09,391.55,667544,0.0,0
2018-12-13,393.24,394.93,384.28,385.48,654908,0.0,0
2018-12-14,387.27,393.24,384.58,392.35,564640,0.0,0
2018-12-17,394.78,394.78,388.81,391.45,288405,0.0,0
2018-12-18,390.3,392.64,388.81,390.75,726131,0.0,0
2018-12-19,392.64,392.64,385.28,385.82,641305,0.0,0
2018-12-20,385.08,388.81,383.98,385.48,862497,0.0,0
2018-12-21,386.27,386.27,379.5,383.49,1139523,0.0,0
2018-12-24,383.29,385.97,381.54,383.39,1142259,0.0,0
2018-12-26,381.29,384.33,377.86,383.09,1277067,0.0,0
2018-12-27,384.98,392.74,383.88,388.86,862693,0.0,0
2018-12-28,389.66,391.65,382.79,385.63,935219,0.0,0
2018-12-31,386.27,387.67,383.88,385.43,380439,0.0,0
2019-01-01,386.07,387.17,383.39,384.68,244225,0.0,0
2019-01-02,384.23,390.75,383.39,389.41,401487,0.0,0
2019-01-03,390.9,393.74,387.77,389.56,391423,0.0,0
2019-01-04,390.25,393.19,386.02,391.75,484014,0.0,0
2019-01-07,392.74,393.64,388.36,391.3,346567,0.0,0
2019-01-08,391.15,394.24,387.47,392.94,391569,0.0,0
2019-01-09,390.95,396.68,389.76,394.24,815426,0.0,0
2019-01-10,394.88,407.53,393.29,404.89,1539299,0.0,0
2019-01-11,406.78,407.58,402.2,404.79,644793,0.0,0
2019-01-14,403.25,403.25,388.51,390.3,976187,0.0,0
2019-01-15,390.35,391.95,383.39,385.77,668054,0.0,0
2019-01-16,384.68,388.16,383.73,385.77,962874,0.0,0
2019-01-17,385.77,390.75,382.39,389.11,962821,0.0,0
2019-01-18,389.26,390.7,381.29,381.99,435544,0.0,0
2019-01-21,382.19,384.48,380.3,382.14,900424,0.0,0
2019-01-22,383.19,387.77,379.4,382.14,1365759,0.0,0
2019-01-23,383.29,387.77,369.6,371.69,1355788,0.0,0
2019-01-24,369.55,372.73,358.5,359.59,1229942,0.0,0
2019-01-25,362.33,367.11,355.41,357.8,1351651,0.0,0
2019-01-28,359.39,367.86,342.87,365.66,1405014,0.0,0
2019-01-29,364.82,364.87,356.11,358.7,793151,0.0,0
2019-01-30,360.69,370.34,356.41,368.75,943004,0.0,0
2019-01-31,371.34,372.83,361.38,369.95,892055,0.0,0
2019-02-01,371.19,375.47,366.36,373.78,854153,0.0,0
2019-02-04,370.89,376.27,368.95,374.53,572950,0.0,0
2019-02-05,373.33,375.62,368.95,374.58,387625,0.0,0
2019-02-06,374.58,375.32,366.06,367.95,489165,0.0,0
2019-02-07,368.35,370.34,365.47,366.76,974999,0.0,0
2019-02-08,366.66,371.14,361.93,363.42,308347,0.0,0
2019-02-11,364.17,364.72,349.69,355.01,693813,0.0,0
2019-02-12,353.72,358.7,349.79,351.78,495884,0.0,0
2019-02-14,356.41,360.09,351.98,357.9,922903,0.0,0
2019-02-15,354.42,360.34,352.42,356.9,645076,0.0,0
2019-02-18,357.85,361.18,347.45,349.04,433200,0.0,0
2019-02-19,350.13,352.42,344.51,345.26,345475,0.0,0
2019-02-20,347.05,348.19,344.21,344.76,480124,0.0,0
2019-02-21,345.85,356.11,344.71,355.26,546373,0.0,0
2019-02-22,356.75,362.38,354.56,360.89,487266,0.0,0
2019-02-25,361.33,363.28,352.42,353.02,480503,0.0,0
2019-02-26,349.44,354.17,344.81,352.13,619615,0.0,0
2019-02-27,353.72,355.91,346.5,348.49,429691,0.0,0
2019-02-28,350.28,354.66,346.6,350.68,1177853,0.0,0
2019-03-01,350.23,362.38,350.23,361.33,1162447,0.0,0
2019-03-05,358.5,377.31,358.5,374.62,1316987,0.0,0
2019-03-06,378.11,390.16,374.38,388.31,1444943,0.0,0
2019-03-07,388.86,392.25,382.59,389.36,912620,0.0,0
2019-03-08,387.37,392.15,383.29,389.96,408930,0.0,0
2019-03-11,389.26,390.25,383.58,388.76,1312055,0.0,0
2019-03-12,365.91,375.17,365.91,369.9,16596749,0.0,0
2019-03-13,365.86,369.2,363.67,364.52,21171413,0.0,0
2019-03-14,369.5,369.5,366.05,366.6,5356136,1.63,0
2019-03-15,367.0,372.25,366.25,370.1,7977181,0.0,0
2019-03-18,372.0,374.3,366.15,367.45,2776286,0.0,0
2019-03-19,368.0,368.85,362.5,364.15,3010431,0.0,0
2019-03-20,364.0,366.6,362.3,363.95,1211115,0.0,0
2019-03-22,364.3,367.45,361.55,363.05,1646283,0.0,0
2019-03-25,360.9,362.5,355.4,359.25,2130928,0.0,0
2019-03-26,362.2,370.25,361.05,369.55,4061590,0.0,0
2019-03-27,370.05,375.75,370.05,371.7,3879051,0.0,0
2019-03-28,371.95,373.2,368.1,371.55,1740501,0.0,0
2019-04-01,378.2,387.5,377.15,383.85,2756796,0.0,0
2019-04-02,384.45,384.5,379.1,380.25,1180504,0.0,0
2019-04-03,380.6,391.85,379.15,384.65,3425894,0.0,0
2019-04-04,385.15,385.95,377.5,378.3,1219612,0.0,0
2019-04-05,380.0,388.45,380.0,386.2,1680426,0.0,0
2019-04-08,387.9,390.0,381.65,385.4,1769899,0.0,0
2019-04-09,386.0,386.35,378.6,381.75,1529577,0.0,0
