,Name,Intraday,Investing
0,BAJAJFINSV.NS.csv,-5164.610000000014,-2467.369999999999
1,NTPC.NS.csv,-60.760000000000005,-24.820000000000007
2,SHREECEM.NS.csv,-4188.649999999994,-467.7099999999991
3,ULTRACEMCO.NS.csv,-1444.8300000000008,-399.40999999999985
4,SBIN.NS.csv,-218.44999999999993,-98.0
5,MARUTI.NS.csv,-1708.6900000000014,-91.31999999999971
6,ITC.NS.csv,-195.64000000000013,-64.28999999999999
7,PIDILITIND.NS.csv,-703.6700000000005,-16.319999999999936
8,JSWSTEEL.NS.csv,60.91999999999982,37.44999999999999
9,COALINDIA.NS.csv,-98.01000000000006,-59.26999999999998
10,ADANIPORTS.NS.csv,-156.82000000000025,-83.96999999999997
11,DABUR.NS.csv,-136.12000000000018,49.97000000000003
12,ASIANPAINT.NS.csv,-351.3700000000006,184.67000000000007
13,LT.NS.csv,-1119.0500000000018,-529.19
14,SBICARD.NS.csv,-62.450000000000784,812.45
15,DMART.NS.csv,-36.45000000000209,208.70000000000005
16,BPCL.NS.csv,-198.50999999999968,-67.05000000000001
17,ADANIGREEN.NS.csv,312.75,595.2
18,TITAN.NS.csv,-216.02999999999884,-149.43999999999983
19,WIPRO.NS.csv,-18.179999999999666,76.05999999999997
20,BRITANNIA.NS.csv,-1116.1000000000013,764.9699999999998
21,BAJFINANCE.NS.csv,-1964.729999999997,-789.8899999999999
22,GODREJCP.NS.csv,-259.2099999999998,32.039999999999964
23,IOC.NS.csv,-102.26999999999988,-60.19999999999999
24,M&M.NS.csv,-44.95999999999992,59.680000000000064
25,HDFCLIFE.NS.csv,-89.29999999999984,20.149999999999977
26,HCLTECH.NS.csv,67.14000000000118,308.90999999999997
27,CIPLA.NS.csv,-280.25000000000006,337.53
28,HINDZINC.NS.csv,-131.27000000000027,25.120000000000005
29,DIVISLAB.NS.csv,480.63000000000034,1429.65
30,KOTAKBANK.NS.csv,-662.6500000000019,-349.5999999999999
31,HEROMOTOCO.NS.csv,-625.1499999999985,393.8899999999999
32,ONGC.NS.csv,-79.8099999999998,-53.57000000000001
33,DRREDDY.NS.csv,477.3899999999976,2362.4
34,ICICIPRULI.NS.csv,-49.96000000000032,-17.569999999999993
35,BHARTIARTL.NS.csv,-133.22999999999985,99.57
36,BAJAJ-AUTO.NS.csv,-496.3200000000004,146.4000000000001
37,NESTLEIND.NS.csv,-3982.160000000029,2477.290000000001
38,SUNPHARMA.NS.csv,-198.3499999999994,86.23000000000002
39,TECHM.NS.csv,7.429999999999893,83.67000000000007
40,SBILIFE.NS.csv,-266.5499999999994,-1.099999999999909
41,POWERGRID.NS.csv,-29.910000000000082,-26.700000000000017
42,AXISBANK.NS.csv,-416.4000000000004,-281.70000000000005
